Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SC337,Whitney (8),Light Upon The Lake,Secretly Canadian,"LP, Album",,2016,8520244,"LP - 12""",2016-08-28 03:26:55,,,
SC337,Whitney (8),Light Upon the Lake,Secretly Canadian,"Cass, Album, Red",,2016,8611068,Cassettes,2017-01-23 03:16:06,,,
SC68,Swearing At Motorists,This Flag Signals Goodbye,Secretly Canadian,"LP, Album",,2002,1245716,"LP - 12""",2015-09-14 04:47:01,,,
none,AFI / Swingin' Utters,Bombing The Bay!,Sessions Records,"7"", RP",5,1997,5551143,"7""",2018-10-02 00:24:21,,,
6056,Various,Ghost World (Original Motion Picture Soundtrack),"Shanachie, Cinema Paradiso (2)","2xLP, Gat",,2019,13490938,"LP - 12""",2019-04-15 00:51:45,,,
SYLR010,Sam Mickens,Slay & Slake,Shatter Your Leaves,LP,,2011,3311173,"LP - 12""",2017-08-13 02:09:40,,,
SHINKANSEN 14CD,The Field Mice,Where'd You Learn To Kiss That Way?,Shinkansen Recordings,"2xCD, Comp",,1998,551978,CD,2015-11-22 19:00:11,,,
SHR 80,The Secret Stars,TSS,Shrimper,"LP, Album",,1996,792007,"LP - 12""",2016-03-05 05:11:32,,,
MZH1724 90342188,Alaska Thunderfuck,Anus,"Sidecar Records, Producer Entertainment Group","LP, Album, Ltd",4,2016,8001750,"LP - 12""",2017-11-13 23:25:31,,,
"HUSH-007, OBV002",Parenthetical Girls / The Dead Science,Jackie's Strength / On Your Shore,"Silencio Recordings, Obsolete Vernacular","7"", Ltd",5,2007,1424627,"7""",2015-02-24 00:17:52,,,
SB-84,Pink Reason,Cleaning The Mirror,Siltbreeze,"LP, Album",,2007,891342,"LP - 12""",2015-09-14 02:58:26,,,
SB-94,U.S. Girls,Introducing...,Siltbreeze,"LP, Album",,2008,1628077,"LP - 12""",2015-09-19 07:28:45,,,
SB104,The Mantles,The Mantles,Siltbreeze,"LP, Album",,2009,1946902,"LP - 12""",2015-09-14 05:53:44,,,
SB88,Psychedelic Horseshit,Magic Flowers Droned,Siltbreeze,"LP, Album",,2007,1264349,"LP - 12""",2015-09-19 07:26:06,,,
MSM 35099,Chuck Berry,Rock Till You Drop - His Greatest Hits,"Silver Eagle Records, Inc.","2xLP, Comp",,1987,7293572,"LP - 12""",2015-09-24 01:07:26,,,
88697546111,The Stone Roses,The Stone Roses,Silvertone Records,"LP, Album, Num, RE, RM, Emb + 7"", S/Sided, W/Lbl +",,2009,1879873,"LP - 12""",2015-11-22 18:58:26,,,
SMR 039,Ida (3),It's Not Alright,Simple Machines,"7""",5,1995,796439,"7""",2015-09-14 20:34:09,,,
SMR 051,Ida (3) / Beekeeper,Ida / Beekeeper,Simple Machines,"7""",5,1997,1163716,"7""",2015-09-18 04:15:51,,,
SMR 055,Ida (3),Poor Dumb Bird,Simple Machines,"7""",5,1997,1034700,"7""",2015-09-18 03:50:46,,,
25640-4,Throwing Muses,The Fat Skier,Sire,"Cass, MiniAlbum",,1987,676058,Cassettes,2017-09-30 16:38:36,,,
SR 6036,Talking Heads,Talking Heads: 77,Sire,"LP, Album, Los",,1977,192870,"LP - 12""",2016-07-23 03:32:06,,,
SR 6042,Ramones,Rocket To Russia,Sire,"LP, Album",,1977,1292101,"LP - 12""",2017-06-10 04:45:42,,,
SRE 1044,The Normal,T.V.O.D. / Warm Leatherette,Sire,"7"", Single",5,1978,36244,"7""",2015-09-28 01:53:34,,,
SRK 3647,Soft Cell,Non-Stop Erotic Cabaret,Sire,"LP, Album",,1981,605541,"LP - 12""",2015-10-16 02:21:22,,,
SRK 6058,Talking Heads,More Songs About Buildings And Food,Sire,"LP, Album, Los",,1978,7188416,"LP - 12""",2015-09-28 02:05:29,,,
SRK 6061,Plastic Bertrand,Ça Plane Pour Moi (This Life's For Me),Sire,"LP, Album",,1977,1887537,"LP - 12""",2015-09-16 04:00:00,,,
SRK 6095,Talking Heads,Remain In Light,Sire,"LP, Album, Win",,1980,116491,"LP - 12""",2015-09-28 02:08:54,,,
XSR 6088,The Undertones,Hypnotised,Sire,"LP, Album",,1980,1957624,"LP - 12""",2015-09-19 07:31:48,,,
0-20769,Depeche Mode,Strangelove,"Sire, Mute","12"", Maxi, Ltd",,1987,55416,"LP - 12""",2015-09-10 03:57:47,,,
92 37371,Yazoo,Upstairs At Eric's,"Sire, Mute","LP, Album",,1982,1382340,"LP - 12""",2016-05-02 05:07:43,,,
"9 25429-1, 1-25429",Depeche Mode,Black Celebration,"Sire, Mute, Sire","LP, Album, Emb",,1986,35100,"LP - 12""",2015-09-19 07:12:27,,,
"4-40163, 9 40163-4",Morrissey,My Love Life,"Sire, Reprise Records","Cass, Maxi",,1991,1367221,Cassettes,2017-09-30 20:39:42,,,
"9 25426-1, 1-25426",The Smiths,The Queen Is Dead,"Sire, Rough Trade","LP, Album, SRC",,1986,6880447,"LP - 12""",2019-07-28 06:49:20,,,
"1-25512, 9 25512-1",Talking Heads,True Stories,"Sire, Sire","LP, Album, SRC",,1986,355382,"LP - 12""",2015-10-16 02:36:12,,,
"1-25554, 9 25554-1",Erasure,The Circus,"Sire, Sire","LP, Album",,1987,105818,"LP - 12""",2019-11-16 18:31:45,,,
"1-25494, 9 25494-1",Everything But The Girl,Baby The Stars Shine Bright,"Sire, Sire, Blanco Y Negro","LP, Album",,1986,1132011,"LP - 12""",2020-09-28 00:16:19,,,
"1-25065, 9 25065-1",The Smiths,The Smiths,"Sire, Sire, Rough Trade","LP, Album",,1984,501464,"LP - 12""",2016-06-26 00:30:46,,,
"1-25569, 9 25569-1",The Smiths,Louder Than Bombs,"Sire, Sire, Rough Trade, Rough Trade","2xLP, Comp, Spe",,1987,11988356,"LP - 12""",2018-09-03 21:58:39,,,"1,2,3,4 Go!, Oakland"
"9 23694-1 B, 1-23694",Soft Cell,Non-Stop Ecstatic Dancing,"Sire, Some Bizzare","LP, Album, Jac",,1982,49309,"LP - 12""",2015-10-27 14:51:03,,,
"9 23737-4, 4-23737",Yazoo,Upstairs At Eric's,"Sire, Warner Bros. Records","Cass, Album, RE, SR,",,1982,10520124,Cassettes,2017-09-30 21:17:02,,,
"9 26714-4, 4-26714",Primal Scream,Screamadelica,"Sire, Warner Bros. Records","Cass, Album, AR,",,1991,7757427,Cassettes,2017-09-30 21:18:20,,,
SPR-021,Priests (2),Nothing Feels Natural,Sister Polygon Records,"LP, Album",,2017,9683120,"LP - 12""",2017-02-10 21:56:11,,,
SPR-031,Priests (2),The Seduction Of Kansas,Sister Polygon Records,"LP, Album, Pin",,2019,13434511,"LP - 12""",2019-05-25 21:03:24,,,
"GR 34, NUX-D14",Melt-Banana,Scratch Or Stitch,"Skin Graft Records, Nux Organization","LP, Album, Ltd",,1996,1589562,"LP - 12""",2016-03-26 05:21:45,,,
23934-1,Various,The Decline Of Western Civilization,Slash,"LP, Album, RE",,1983,3375991,"LP - 12""",2016-11-25 18:04:06,,,
SR-104,X (5),Los Angeles,Slash,"LP, Album",,1980,458505,"LP - 12""",2016-05-02 05:23:20,,,
"SLA 23930-4, 4-23930",X (5),Los Angeles,"Slash, Slash","Cass, Album, RE",,0,394662,Cassettes,2017-09-30 20:36:52,,,
SMS000,Parenthetical Girls,(((GRRRLS))),Slender Means Society,"LP, Album",,2004,2827632,"LP - 12""",2015-02-24 00:17:36,,,
SMS006,The Dead Science,Crepuscule With The Dead Science,Slender Means Society,"CD, EP",,2006,4270497,CD,2015-02-24 00:25:14,,,
SMS012,Parenthetical Girls,Privilege,Slender Means Society,"5x12"", Album, Ltd, Box + DVD-V + Box, Ltd",,2012,3921817,"LP - 12""",2014-03-26 04:36:12,,,
"SMS012, MAR077",Parenthetical Girls,Privilege,"Slender Means Society, Marriage Records","LP, Album + DVD-V",,2013,4395881,"LP - 12""",2015-02-24 00:17:45,,,
83212-1,Trina,Da Baddest B***h,"Slip-N-Slide Records, Atlantic","2xLP, Album",,2000,4216182,"LP - 12""",2015-09-19 07:16:59,,,
"SDS-1501, B0026075-01, SDS-45-1501",Marcy Playground,Marcy Playground,"Slow Down Sounds, Universal Music Special Markets, Slow Down Sounds","LP, Album, RE + 7"" + Ltd",,2017,10174618,"LP - 12""",2017-04-27 03:15:36,,,
SLR 106,Pants Yell!,Received Pronunciation,Slumberland Records,"LP, Album",,2009,2151933,To Sell,2016-10-23 22:21:08,,,
SLR 108,Brilliant Colors,Introducing,Slumberland Records,"LP, Album",,2009,2043250,"LP - 12""",2015-09-13 23:17:59,,,
slr 111,Black Tambourine,Black Tambourine,Slumberland Records,"LP, Comp, Whi",,2010,3764025,"LP - 12""",2015-09-13 23:08:36,,,
SLR 153,Veronica Falls,Veronica Falls,Slumberland Records,"LP, Album",,2011,3122258,"LP - 12""",2016-12-24 22:27:42,,,
SLR 29,The Earthmen,Cool Chick #59 / Momentum (Pebble Mix),Slumberland Records,"7"", Single",5,1993,1871530,"7""",2015-09-14 20:53:03,,,
SLR 49,Boyracer,One Side Of Boyracer,Slumberland Records,"7"", S/Sided, Single, Ltd, Whi",5,1996,802293,"7""",2015-09-14 20:44:48,,,
slr 62,The Aislers Set,The Last Match,Slumberland Records,"LP, Album, RE, Blu",,2014,6104375,"LP - 12""",2015-09-18 01:10:08,,,
SLR 84,Crystal Stilts,Alight Of Night,Slumberland Records,"LP, Album, Ltd",,2008,2959858,"LP - 12""",2015-09-13 23:49:47,,,
SLR187,Girls Names,The New Life,Slumberland Records,"LP, Album, Ltd, Cle",,2013,4380414,"LP - 12""",2016-09-18 02:21:46,,,
SLR91,Crystal Stilts,Love Is A Wave,Slumberland Records,"7"", Single, Ltd, Whi",5,2009,1711072,"7""",2015-09-18 03:29:05,,,
"SLR 103, FPOP 85",The Pains Of Being Pure At Heart,Come Saturday,"Slumberland Records, Fortuna Pop!","7"", Single, Gre",5,2009,1919460,"7""",2015-09-14 20:49:20,,,
"SLR 92, FPOP 84",The Pains Of Being Pure At Heart,Young Adult Friction,"Slumberland Records, Fortuna Pop!","7"", Single, Mar",5,2009,1720146,"7""",2015-09-14 20:54:06,,,
"SLR132, FPOP116",Crystal Stilts,In Love With Oblivion,"Slumberland Records, Fortuna Pop!","LP, Album",,2011,2841625,"LP - 12""",2015-11-01 07:30:32,,,
"SLR 55, SLUMBERLAND RECS. NO. 55, slr 55",The Aislers Set,Terrible Things Happen,"Slumberland Records, Slumberland Records, Slumberland Records","LP, Album, RE",,2014,6118643,"LP - 12""",2015-09-13 22:37:02,,,
STS293LP,Kelly Lee Owens,Kelly Lee Owens,Smalltown Supersound,"LP, Album + CD, Album",,2017,9987858,"LP - 12""",2019-11-17 23:01:29,,,
SOB 01 ,Screamers,Demos 1977-78,Sob,"LP, RE, Unofficial, Blu",,2013,5004668,"LP - 12""",2016-02-07 06:22:58,,,
SOCIAL-002,The June Brides,"London, England 1984-1986",Social Music Records,"LP, Comp",,2011,3349206,"LP - 12""",2015-09-14 01:12:13,,,
SBR002,Death Cab For Cutie,Something About Airplanes,Sonic Boom Recordings,"LP, Album, RM, RP, Blu",,2007,2577394,"LP - 12""",2015-09-10 03:53:40,,,
88875138721,Primal Scream,Screamadelica,Sony Music,"2xLP, Album, RE, Gat",,2015,7772194,"LP - 12""",2016-06-10 00:45:27,,,
889854904814,Julieta Venegas,Sí,"Sony Music Entertainment México, S.A. De C.V.","2xLP, Album, Gat",,2019,14417906,"LP - 12""",2020-01-23 08:09:23,,,
SJR LP255-VOL.2,Various,Voguing & The House Ballroom Scene Of New York City 1976-96 Volume Two,Soul Jazz Records,"2xLP, Comp",,2012,3414234,"LP - 12""",2016-03-05 05:10:42,,,
SJR LP345,Betty Harris,The Lost Queen Of New Orleans Soul,Soul Jazz Records,"2xLP, Comp",,2016,9200992,"LP - 12""",2017-01-23 03:25:58,,,
SNDVRS 06,Various,Destroy New Granada,Sound Virus,"LP, S/Sided, Comp, Red",,2001,2828396,"LP - 12""",2015-09-14 19:57:21,,,
SOUNDVIRUS 05 ,Pretty Girls Make Graves,Pretty Girls Make Graves,Sound Virus,"12"", EP",,2002,2329916,"LP - 12""",2015-09-14 03:06:29,,,
"#09, SNDVRS 09",Pretty Girls Make Graves,Sad Girls Por Vida,"Sound Virus, Sound Virus","7"", Single",5,2002,457782,"7""",2015-09-14 21:07:58,,,
"7243 8 44978 1 1, V 2848",AIR,Moon Safari,"Source, Virgin","LP, Album",5,1998,2798033,"LP - 12""",2015-09-09 04:44:42,,,
sunn55,Boris (3),Pink,Southern Lord,"2xLP, Album, Ltd, RP, Red",,2007,1466716,"LP - 12""",2015-09-13 23:14:35,,,
sunn74,Earth (2),Hibernaculum,Southern Lord,"LP, Album",,2007,949638,"LP - 12""",2016-08-28 03:54:40,,,
ORBIT039LP,Spacemen 3,"For All The Fucked-Up Children Of This World We Give You Spacemen 3 (First Ever Recording Session, 1984)",Space Age Recordings,"LP, Album, Ltd, RE, Mil",,2017,10167572,"LP - 12""",2017-04-27 03:10:58,,,
ORBIT041LP,Acid Mothers Temple & The Melting Paraiso UFO,Does The Cosmic Shepherd Dream Of Electric Tapirs,Space Age Recordings,"2xLP, Album, Ltd, RE, Mus",,2019,13488050,"LP - 12""",2019-04-13 20:57:37,,,
ORBIT055LP,Spacemen 3,Recurring,Space Age Recordings,"LP, Album, RE, Red",,2017,10172536,"LP - 12""",2017-04-27 03:10:21,,,
ORBIT057LP,Spacemen 3,Playing With Fire,Space Age Recordings,"LP, Album, Ltd, RE, Ora",,2017,10172493,"LP - 12""",2017-04-27 03:09:54,,,
SM-002,Swearing At Motorists,Tuesday's Pretzel Night,Spare Me Records,"7""",5,1996,2410854,"7""",2015-09-17 07:57:32,,,
SQRL 26,The Blanche Hudson Weekend,The Letters To Daddy EP,Squirrel Records,"7"", EP",5,2009,2044491,"7""",2015-09-14 20:41:48,,,
SQRL 28,The Blanche Hudson Weekend,Hate Is A Loaded Gun,Squirrel Records,"7"", EP",5,2010,2384939,"7""",2015-09-14 20:41:28,,,
SST 020,Hüsker Dü,Metal Circus,SST Records,"12"", EP, RE",,2008,3730143,"LP - 12""",2015-09-14 00:51:45,,,
SST 027,Hüsker Dü,Zen Arcade,SST Records,"2xLP, Album, RE, Gat",,1989,2639254,"LP - 12""",2015-09-14 00:47:54,,,
SST 031,Hüsker Dü,New Day Rising,SST Records,"LP, Album, RP",,1990,371261,"LP - 12""",2015-09-14 00:50:39,,,
SST 043,Various,The Blasting Concept Volume II,SST Records,"LP, Comp",,1986,768874,"LP - 12""",2015-09-14 19:54:05,,,
SST 096,Sonic Youth,Confusion Is Sex,SST Records,"LP, Album, RE",,1987,843894,"LP - 12""",2018-05-19 22:26:06,,,"1,2,3,4 Go!, Oakland"
SSTC 134,Sonic Youth,Sister,SST Records,"Cass, Album",,1987,1952494,Cassettes,2017-09-30 17:27:29,,,
88875075121,Bully (10),Feels Like,"Startime International, Columbia","LP, Album",,2015,7138610,"LP - 12""",2015-09-13 23:22:20,,,
"Yukon Territory, SMS007",Xiu Xiu vs. Grouper,Creepshow,"States Rights Records, Slender Means Society","CD, EP, Ltd",,2006,885328,CD,2015-08-15 21:23:09,,,
staubgold 141,Vivien Goldman,Resolutionary,Staubgold,"LP, Comp",,2016,8205159,"LP - 12""",2016-09-18 02:40:22,,,
STICK-022,The Paper Chase And Xiu Xiu,Cover Nick Cave,Stickfigure Records,"7"", Ltd",5,2005,1046871,"7""",2014-03-26 04:29:50,,,
stickfigure 027,Xiu Xiu / W-S Burn,Xiu Xiu / W-S Burn,Stickfigure Records,"7"", Single",5,2007,1095933,"7""",2014-03-26 04:30:56,,,
n°20,Farewell (4),Nfumbes,Stoned To Death,Cass,,2014,5934881,Cassettes,2017-01-27 21:29:50,,,
n°25,Xiu Xiu,A Promise,Stoned To Death,"Cass, Album, Ltd, RE",,2014,6320549,Cassettes,2015-02-24 00:11:05,,,
n°26,Xiu Xiu,Knife Play,Stoned To Death,"Cass, Album, Ltd, RE",,2014,6500148,Cassettes,2015-06-23 03:34:06,,,
n°27,Xiu Xiu,Unclouded Sky,Stoned To Death,"Cass, Album",,2014,6326939,Cassettes,2015-02-24 00:11:14,,,
n°94,Xiu Xiu,Girl with Basket of Fruit,Stoned To Death,"Cass, Album, Ltd",,2019,13473547,Cassettes,2019-05-06 21:04:13,,,
none,"Xiu Xiu, (r)",Sharp Dressed Man / Gimme All Your Lovin',"Stoned To Death, Polyvinyl Record Company","7"", Ltd, Pin",,2017,11187928,"7""",2019-05-06 21:06:42,,,
SFPSC039,New Order,The Peel Sessions,Strange Fruit,"Cass, EP",,1989,2863011,Cassettes,2017-09-30 21:13:38,,,
SP 1001,Dum Dum Girls,End Of Daze,Sub Pop,"12"", EP",,2012,3934558,"LP - 12""",2015-09-14 00:06:37,,,
SP 1110,Sleater-Kinney,Start Together // 1994 - 2006,Sub Pop,"LP, Album, RE, RM, Gre + LP, Album, RE, RM, Cle + ",,2014,6201446,"LP - 12""",2015-09-11 04:24:15,,,
SP 1250,Low,Double Negative,Sub Pop,"LP, Album",,2018,12514142,"LP - 12""",2018-09-29 21:47:44,,,"1,2,3,4 Go!, Oakland"
SP 185,Earth (2),Earth 2 - Special Low Frequency Version,Sub Pop,"2xLP, Album, RP",,2006,760379,"LP - 12""",2015-09-14 00:07:51,,,
SP 210,The Spinanes,Spitfire,Sub Pop,"7""",5,1993,1879410,"7""",2015-09-18 04:08:04,,,
SP 227,The Spinanes,Manos,Sub Pop,"LP, Album",,1993,1524362,"LP - 12""",2016-08-28 04:04:00,,,
SP 316,Sunny Day Real Estate,LP2,Sub Pop,"LP, Album",,1995,517898,"LP - 12""",2015-09-11 04:01:35,,,
SP 361,Earth (2),Pentastar: In The Style Of Demons,Sub Pop,"LP, Album, RP",,2006,700865,"LP - 12""",2015-09-14 00:08:57,,,
SP 409,Sunny Day Real Estate,How It Feels To Be Something On,Sub Pop,"LP, Album, Ltd, RE, Yel",,2016,8855366,"LP - 12""",2016-08-13 02:16:24,,,
SP 429,Murder City Devils,Empty Bottles Broken Hearts,Sub Pop,"LP, Album, RP, Gre",,2009,1684889,"LP - 12""",2015-09-14 02:27:21,,,
SP 497,Murder City Devils,In Name And Blood,Sub Pop,"LP, Album, RP, Gre",,2009,1684891,"LP - 12""",2015-09-14 07:17:57,,,
SP 505,The Rapture,Out Of The Races And Onto The Tracks,Sub Pop,"12""",,2001,291489,"LP - 12""",2015-09-14 03:39:44,,,
SP 611,The Thermals,No Culture Icons,Sub Pop,"7"", EP",5,2003,376936,"7""",2015-09-18 03:49:56,,,
SP 622,The Thermals,More Parts Per Million,Sub Pop,"LP, Album",,2003,390841,"LP - 12""",2015-09-11 03:46:38,,,
SP 626,Kinski / Acid Mothers Temple & The Melting Paraiso UFO,Kinski / Acid Mothers Temple,Sub Pop,"LP, Whi + LP + Ltd",,2003,430907,"LP - 12""",2017-09-03 17:46:13,,,
SP 647,Comets On Fire,Blue Cathedral,Sub Pop,"LP, Album",,2004,454096,"LP - 12""",2015-09-13 23:47:24,,,
SP 704,Comets On Fire,Avatar,Sub Pop,"LP, Album",,2006,941734,"LP - 12""",2015-09-13 23:47:31,,,
SP 717,CSS,Cansei De Ser Sexy,Sub Pop,"LP, Album",,2006,759506,"LP - 12""",2015-09-10 03:44:08,,,
SP 728,CSS,Alala,Sub Pop,"12""",,2006,816817,"LP - 12""",2015-09-10 03:44:22,,,
SP 730,Pissed Jeans,Hope For Men,Sub Pop,"LP, Album, Ltd, Whi",,2007,1618196,"LP - 12""",2015-09-14 03:02:03,,,
SP 770,CSS,Donkey,Sub Pop,"LP, Album",,2008,1405208,"LP - 12""",2015-11-27 23:39:18,,,
SP 810,The Vaselines,Enter The Vaselines,Sub Pop,"3xLP, Comp",,2009,1772408,"LP - 12""",2016-12-18 01:47:57,,,
SP 840,Dum Dum Girls,I Will Be,Sub Pop,"LP, Album",,2010,2553270,"LP - 12""",2016-09-18 01:51:14,,,
SP 917,Dum Dum Girls,He Gets Me High,Sub Pop,"12"", EP",,2011,2739570,"LP - 12""",2015-09-14 00:07:01,,,
SP 934,Male Bonding,Endless Now,Sub Pop,"LP, Album, Ltd, Blu",,2011,3082694,"LP - 12""",2016-08-28 03:50:13,,,
SP 950,Dum Dum Girls,Only In Dreams,Sub Pop,"LP, Album",,2011,3128323,"LP - 12""",2015-09-14 00:06:11,,,
SP 965,Beach House,Bloom,Sub Pop,"2xLP, Album",,2012,3599039,"LP - 12""",2018-10-14 00:38:13,,,"1,2,3,4 Go!, Oakland"
sp 98,Beat Happening,Dreamy,Sub Pop,"LP, Album",,1991,757526,"LP - 12""",2016-09-11 01:12:34,,,
SP1029,Pissed Jeans,Honeys,Sub Pop,"LP, Album",,2013,4294342,"LP - 12""",2015-09-14 03:03:06,,,
SP1070,Mogwai,Rave Tapes,Sub Pop,"LP, Album",,2014,5301437,"LP - 12""",2015-09-11 02:34:56,,,
SP108,Shonen Knife,Neon Zebra b/w Bear Up Bison (Live),Sub Pop,"7"", Single, Ltd, Gra",5,1991,896858,"7""",2015-11-01 07:15:34,,,
SP1100,Sleater-Kinney,No Cities To Love,Sub Pop,"LP, Album, Gat",,2015,6537504,"LP - 12""",2016-11-25 22:55:32,,,
SP1100,Sleater-Kinney,No Cities To Love,Sub Pop,"Cass, Album",,2015,7768386,Cassettes,2017-09-30 16:21:56,,,
SP1122,Beach House,Depression Cherry ,Sub Pop,"LP, Album, Ltd, Cle",,2015,7391683,"LP - 12""",2015-09-13 05:30:43,,,
SP1142,Beach House,Thank Your Lucky Stars,Sub Pop,"LP, Album, Ltd, Gre",,2015,7600410,"LP - 12""",2015-10-17 21:44:10,,,
SP1161,Sleater-Kinney,Cassingle,Sub Pop,"Cass, Single",,2015,7855289,Cassettes,2017-09-30 20:37:47,,,
SP1164,Kyle Craft,Dolls Of Highland,Sub Pop,"2xLP, Album, Ltd, Pin",,2016,8448496,"LP - 12""",2016-05-15 21:57:01,,,
SP1190,Pissed Jeans,Why Love Now,Sub Pop,"LP, Album, Ltd, Lav",,2017,9869640,"LP - 12""",2017-03-02 03:13:03,,,
SP1206,Downtown Boys (2),Cost Of Living,Sub Pop,"LP, Album, Ltd, Gol",,2017,10680036,"LP - 12""",2017-08-13 02:08:56,,,
SP1240,Beach House,7,Sub Pop,"LP, Album, Ltd, Yel",,2018,11945334,"LP - 12""",2018-05-19 21:36:16,,,"1,2,3,4 Go!, Oakland"
SP1293,Orville Peck,Pony,Sub Pop,"LP, Album",,2019,13386225,"LP - 12""",2019-07-28 07:08:46,,,
SP130a,The Afghan Whigs,Congregation,Sub Pop,"Cass, Album",,1992,1696873,Cassettes,2017-09-30 21:19:31,,,
SP850,Happy Birthday,Happy Birthday,Sub Pop,"LP, Album",,2010,2189843,"LP - 12""",2015-09-14 00:35:09,,,
SP895,Mogwai,"Hardcore Will Never Die, But You Will.",Sub Pop,"2xLP, Album",,2011,2717018,"LP - 12""",2015-09-11 02:34:05,,,
none,Male Bonding,Daytrotter,"Sub Pop, Daytrotter","Cass, EP, Ltd, C11",,2010,2303567,Cassettes,2017-09-30 20:32:32,,,
SP78a,Beat Happening,Black Candy,"Sub Pop, K","Cass, Album, RE",,1992,3688676,Cassettes,2017-09-30 17:10:01,,,
"SP 1109, SP 1113",Pissed Jeans,Shallow,"Sub Pop, Sub Pop","LP, Album, Neo + 7"", Single + Ltd, RE, RM",,2014,6149113,"LP - 12""",2015-09-14 03:01:07,,,
"SP 317, sp 317",The Spinanes,Madding,"Sub Pop, Sub Pop","7"", Single",5,1996,1214215,"7""",2015-09-18 04:03:03,,,
"SP 845, SP845",Beach House,Teen Dream,"Sub Pop, Sub Pop","2xLP, Album + DVD-V, NTSC",,2010,2111843,"LP - 12""",2015-10-16 02:23:58,,,
"SP 854, SP854",Male Bonding,Nothing Hurts,"Sub Pop, Sub Pop","LP, Album, Whi",,2010,2285492,"LP - 12""",2015-09-17 07:58:37,,,
"SP 909, SP909",Pissed Jeans,Sam Kinison Woman,"Sub Pop, Sub Pop","7"", Single",5,2010,2512995,"7""",2015-09-18 04:07:15,,,
"SP1363, SP1363B",Bully (10),Sugaregg,"Sub Pop, Sub Pop","LP, Album, Blu + Flexi, 7"", Shape, S/Sided + Ltd",,2020,15792254,"LP - 12""",2020-11-08 23:13:52,,,
"sp292, SP 292",Earth (2),Phase 3: Thrones And Dominions,"Sub Pop, Sub Pop","2xLP, Album, RE",,2006,700875,"LP - 12""",2015-09-14 00:07:58,,,
"SP103, tnbt 63",Unrest (2),A Factory Record,"Sub Pop, Teenbeat","7"", Single, Ltd, Pin",5,1991,1218635,"7""",2015-09-18 03:51:47,,,
S-031,Hella,The Devil Isnt Red,Suicide Squeeze,"LP, Album, Ltd, Gre",,2004,725848,"LP - 12""",2019-02-02 23:46:26,,,
S-125,The Aislers Set,How I Learned To Write Backwards,Suicide Squeeze,"LP, Album, Ltd, RE, RM, Gre",,2014,6132051,"LP - 12""",2016-05-16 01:04:30,,,
S024,The Aislers Set,Mission Bells,Suicide Squeeze,"12""",,2002,532958,"LP - 12""",2015-09-13 22:40:02,,,
LP 5408,The Crystals,Twist Uptown,Sundazed Music,"LP, Album, RE, 180",,2012,3836952,"LP - 12""",2019-07-21 02:12:14,,,
SV034,Pink Section,Pink Section,Superior Viaduct,"LP, Comp",,2015,6594397,"LP - 12""",2015-12-24 01:54:03,,,
SV115,The Fall,Hex Enduction Hour,Superior Viaduct,"LP, Album, RE",,2016,9377648,"LP - 12""",2016-12-02 02:19:08,,,
SWA 132,The Marked Men,Fix My Brain,Swami Records,"LP, Album, Cle",,2006,1614975,"LP - 12""",2015-09-14 02:00:16,,,
SWA111,Hot Snakes,Suicide Invoice,Swami Records,"LP, Album",,2002,1160695,"LP - 12""",2015-09-14 05:56:29,,,
SFTRI 151,Thee Headcoatees,"We Got 7 Inches, But We Wanted Twelve!",Sympathy For The Record Industry,"7"", Single",5,1992,1915973,"7""",2015-09-18 04:09:14,,,
SFTRI 161,Gila Monster / The Pooh Sticks,The Stickboy Song Contest Winners,Sympathy For The Record Industry,"7""",5,1992,1413893,"7""",2018-10-02 00:48:41,,,
SFTRI 434,April March & The Makers,April March Sings Along With The Makers,Sympathy For The Record Industry,"LP, Album",,1996,415403,"LP - 12""",2016-07-17 04:59:24,,,
SFTRI 58,The Pooh Sticks,Formula One Generation,Sympathy For The Record Industry,"LP, Album",,1990,1091597,"LP - 12""",2015-09-14 03:04:57,,,
SFTRI 742,The Gun Club,The Las Vegas Story,Sympathy For The Record Industry,"LP, Album, RE, RM, Gre",,2004,1370579,"LP - 12""",2017-01-29 00:40:45,,,
SFTRI 76,The Pooh Sticks,Tonight,Sympathy For The Record Industry,"7"", Single, Pic",5,1989,1408741,"7""",2015-09-18 03:36:43,,,
"SFTRI 115, SWEET VA 001",The Pooh Sticks,Who Loves You,"Sympathy For The Record Industry, Sweet Virginia","7"", Pin",5,1991,1414807,"7""",2015-09-18 03:22:19,,,
TAL082LP,Motorama (3),Poverty,Talitres Records,"LP, Album, Whi",,2015,6558524,"LP - 12""",2016-09-18 01:46:54,,,
"T7-366R1, T7-366 R1",Smokey Robinson,Where There's Smoke...,"Tamla, Tamla","LP, Album",,1979,9375634,"LP - 12""",2019-08-28 06:49:35,,,
"TM-274, Tamla 274",The Marvelettes,The Marvelettes,"Tamla, Tamla","LP, Album, Mono",,1967,3366099,"LP - 12""",2016-08-28 04:08:02,,,
"TBD0001, 88088-21623-1",Radiohead,In Rainbows,"TBD Records, RED Distribution","LP, Album",,2008,1187003,"LP - 12""",2015-09-11 03:07:28,,,
PRC-327,Xiu Xiu,Forget,Teenage Menopause Records,"LP, Album",,2017,9925402,"LP - 12""",2017-03-13 21:12:12,,,
