Catalog#,Artist,Title,Label,Format,Rating,Released,release_id,CollectionFolder,Date Added,Collection Media Condition,Collection Sleeve Condition,Collection Notes
SLANG50099LP,Gold Panda,Good Luck And Do Your Best,City Slang,"LP, Album",,2016,8567898,"LP - 12""",2016-07-04 17:27:41,,,
"04912-45, EFA 04912-45",Seam,Kernel,"City Slang, City Slang","7"", Gre",5,1993,536378,"7""",2015-09-14 21:11:03,,,
"CP 44, RL4-7183",Please Inform The Captain This Is A Hijack,Defeat Or Humiliate The United States Of America,"Clean Plate Records, Empire Records (16), Empyre Records",LP,,2006,3025097,Cassettes,2017-09-01 03:55:57,,,
C#20,ADULT.,Hand To Phone,Clone,"12""",5,2001,21002,"LP - 12""",2015-07-20 01:09:50,,,
C#30,ADULT.,"Shake Your Head / Blank Eyed, Nose Bleed",Clone,"12""",,2003,156786,"LP - 12""",2016-07-31 06:41:10,,,
AC3013011,Pinkshinyultrablast,Grandfeathered,Club AC30,"LP, Album, Ltd, Bab",,2016,8167392,"LP - 12""",2016-12-13 01:08:08,,,
LKW 12003,Palatka / Assholeparade,Palatka / Assholeparade,Coalition Records,"LP, RP",,0,394615,"LP - 12""",2015-09-14 06:52:05,,,
COC-2,Dicks,The Dicks Hate The Police,COC Records,"7"", RE, Unofficial",5,0,691210,"7""",2015-09-14 20:26:03,,,
COG 1C,The Fall,In: Palace Of Swords Reversed,Cog Sinister,"Cass, Comp",,1987,10023519,Cassettes,2017-09-30 21:21:27,,,
none,Comadre,Songs About The Man,Coldbringer Recordings,"7"", EP, Ltd, Num, Tea",,2005,4477732,"7""",2019-04-14 23:43:57,,,
JYRK 011,Xiu Xiu,A Promise,Collective Jyrk,"LP, Album, Ltd, RP",,2004,470124,"LP - 12""",2014-03-26 04:21:09,,,
JYRK11,Xiu Xiu,A Promise,Collective Jyrk,"LP, Album, Ltd, RP",,2004,4089064,"LP - 12""",2014-03-26 04:21:04,,,
JYRK11,Xiu Xiu,A Promise,Collective Jyrk,"LP, Album, Ltd",,2004,2332305,"LP - 12""",2016-05-02 04:54:49,,,
19075830351,Leon Bridges,Good Thing,Columbia,"LP, Album, 180",,2018,11949055,"LP - 12""",2018-08-11 23:29:39,,,
19075861921,The Internet (2),Hive Mind,Columbia,"2xLP, Album",,2018,12275047,"LP - 12""",2018-08-18 04:09:27,,,"1,2,3,4 Go!, Oakland"
19075965221,"Tyler, The Creator",Igor,Columbia,"LP, Album",,2019,14215683,"LP - 12""",2019-11-17 23:09:03,,,
44 78277,Mariah Carey,Always Be My Baby,Columbia,"12""",,1996,704261,"LP - 12""",2016-10-23 22:22:36,,,
44 79261,Mariah Carey,Heartbreaker,Columbia,"12""",,1999,202381,"LP - 12""",2016-10-22 06:53:08,,,
88875 08914 1,Leon Bridges,Coming Home,Columbia,"LP, Album, 180",,2015,7146187,"LP - 12""",2016-02-29 02:38:52,,,
88875118881,The Internet (2),Ego Death,Columbia,"2xLP, Album",,2015,7656373,"LP - 12""",2015-11-01 07:12:32,,,
JCT 35037,Elvis Costello,My Aim Is True,Columbia,"Cass, Album",,1978,10668014,Cassettes,2017-09-30 17:03:59,,,
JS 35487,Various,Eyes Of Laura Mars (Music From The Original Motion Picture Soundtrack),Columbia,"LP, Album",,1978,3020633,"LP - 12""",2017-12-04 01:04:31,,,
PC 33540,Paul Simon,Still Crazy After All These Years,Columbia,"LP, Album, Pit",,1975,10646213,"LP - 12""",2019-04-29 02:12:40,,,
5C 38178,Romeo Void,Never Say Never,"Columbia, 415 Records","12""",,1981,379831,"LP - 12""",2015-09-14 06:05:25,,,
PC 38182,Romeo Void,Benefactor,"Columbia, 415 Records","LP, Album",,1982,3297525,"LP - 12""",2015-09-19 07:03:45,,,
"88697605601, C 760560",Raphael Saadiq,Stone Rollin',"Columbia, Columbia","LP, Album, 200 + CD, Album",,2011,2928360,"LP - 12""",2016-02-29 02:46:30,,,
"PC2 36183, 36183",Pink Floyd,The Wall,"Columbia, Columbia","2xLP, Album",,1979,4261411,"LP - 12""",2019-04-29 02:03:24,,,
"JC 34474, JC34474, 34474",Pink Floyd,Animals,"Columbia, Columbia, Columbia","LP, Album, Gat",,1977,6803674,"LP - 12""",2019-04-29 02:50:45,,,
88697 89614 1,Cults,Cults,"Columbia, ITNO Records","LP, Album",,2011,2907063,"LP - 12""",2017-09-16 17:53:59,,,
88697529221,The Gossip,Music For Men,"Columbia, Music With A Twist","2xLP, Album",,2009,2212857,"LP - 12""",2016-10-09 00:01:31,,,
88765400911,Fugees,The Score,"Columbia, Ruffhouse Records","2xLP, Album, RE",,2012,4351328,"LP - 12""",2016-06-05 23:30:24,,,
19075944041,Solange (2),When I Get Home,"Columbia, Saint Records (6)","LP, Album, Cle",,2019,13834233,"LP - 12""",2020-02-16 00:28:48,,,
88985387471,Solange (2),A Seat At The Table,"Columbia, Saint Records (6)","2xLP, Album",,2016,9466596,"LP - 12""",2016-12-10 22:11:44,,,
88985387471,Solange (2),A Seat At The Table,"Columbia, Saint Records (6)","2xLP, Album, Pur",,2016,9530988,"LP - 12""",2017-02-02 01:41:09,,,
COMM 12,Bitch Magnet,Umber,Communion Label,LP,,1989,1763944,"LP - 12""",2015-09-09 04:54:13,,,
CTICTVLP2019,Carter Tutti Void,Triumvirate,Conspiracy International,"LP, Album",,2019,14058088,"LP - 12""",2020-02-16 00:33:51,,,
CST 054-1,The Dead Science,Villainaire,Constellation,"LP, Album, 180",,2008,1459758,"LP - 12""",2015-02-24 00:24:55,,,
cst003,Godspeed You Black Emperor!,F# A# ∞,Constellation,"LP, Album, RE, Roa",,2000,4031284,"LP - 12""",2015-09-14 00:28:52,,,
cst006,Godspeed You Black Emperor!,Slow Riot For New Zero Kanada E.P.,Constellation,"12"", EP, RE",,2004,2865626,"LP - 12""",2015-09-14 00:32:16,,,
cst009,A Silver Mt. Zion,He Has Left Us Alone But Shafts Of Light Sometimes Grace The Corner Of Our Rooms…,Constellation,"LP, Album",5,2000,84926,"LP - 12""",2015-09-14 03:58:17,,,
cst012,Godspeed You Black Emperor!,Lift Your Skinny Fists Like Antennas To Heaven,Constellation,"2xLP, Album",,2000,74260,"LP - 12""",2015-09-14 00:24:20,,,
CST099-1,A Silver Mt. Zion,Fuck Off Get Free We Pour Light On Everything,Constellation,"LP, Album",,2014,5283950,"LP - 12""",2016-10-23 22:20:23,,,
CST103-1,Ought,More Than Any Other Day,Constellation,"LP, Album, 180",,2014,5634288,"LP - 12""",2015-09-11 04:39:01,,,
CST115-1,Ought,Sun Coming Down,Constellation,"LP, Album",,2015,7491987,"LP - 12""",2015-09-19 07:08:01,,,
"cst 024, CST024-1",Godspeed You Black Emperor!,Yanqui U.X.O.,"Constellation, Constellation","2xLP, Album",,2002,113676,"LP - 12""",2015-09-14 00:29:12,,,
"CST 027-1, CST027-1",A Silver Mt. Zion,"This Is Our Punk-Rock, Thee Rusted Satellites Gather+Sing,","Constellation, Constellation","2xLP, Album",,2003,467646,"LP - 12""",2015-09-14 03:58:26,,,
"CST108-1, CST108",Ought,Once More With Feeling...,"Constellation, Constellation","10"", EP",,2014,6212717,"10""",2015-09-11 04:39:05,,,
"B0025475-01, 570 860-1",Erykah Badu,But You Caint Use My Phone,"Control Freaq Records, Motown, Motown","LP, Ltd, Mixtape, Cle",,2016,9325425,"LP - 12""",2016-11-25 17:59:19,,,
VVR763656,Architecture In Helsinki,Moment Bends,Cooperative Music,"LP, Album",,2011,2875715,"LP - 12""",2016-04-21 01:49:53,,,
CMD 007,Xiu Xiu,Limited Edition Volume 2,Cosmic Dreamer Music,"7"", Ltd, Num, Arc",,2017,10459777,"7""",2019-02-06 21:48:16,,,
COUNT069,Yppah,Tiny Pause,Counter Records,"LP, Album, Cle",,2015,7636301,"LP - 12""",2015-12-07 00:17:38,,,
CS 010,Weed (5),Deserve,Couple Skate Records,"Cass, Album",,2014,6888242,Cassettes,2017-09-30 16:45:02,,,
"CR00246, cr00246",The Wrens,Silver,"Craft Recordings, Craft Recordings","2xLP, Album, Ltd, RM, Cle",,2019,14463824,"LP - 12""",2020-01-23 08:15:26,,,
CRC005,Boys Life / Christie Front Drive,Boys Life / Christie Front Drive,Crank!,"10"", Ltd, Num",,1996,822509,"10""",2016-05-02 04:59:36,,,
521984 R,Crass,Stations Of The Crass,Crass Records,"12"" + 12"" + Album, RE, RM",,2019,13632647,"LP - 12""",2020-09-13 23:46:20,,,
